Data da Venda;Hora da Venda;Número do Pedido;Item do Pedido;Valor Total;Método de Pagamento;Código do Cliente;Tipo de Venda;Avaliação do Cliente;Custo dos Ingredientes;Soma de Vendas;Soma do Custo de Ingredientes
09/04/2023;23:00:00;1099;Sopa de Ervilha;9;Cartão de Débito Hiper;4321;Física;4 estrelas;4,05;;
10/04/2023;18:00:00;1100;Milkshake de Oreo;7,25;Cartão de Crédito Sicredi;5678;Delivery;4 estrelas;3,26;;
11/04/2023;18:30:00;1101;Churrasco de Salsichas;11,5;Cartão de Débito Sicredi;6543;Física;3 estrelas;5,18;;
12/04/2023;19:00:00;1102;Sushi de Salmão Grelhado;11,25;Cartão de Crédito Itaú;3456;Delivery;5 estrelas;5,06;;
13/04/2023;19:30:00;1103;Wrap de Picanha;6,5;Cartão de Débito Itaú;8765;Física;4 estrelas;2,93;;
14/04/2023;20:00:00;1104;Pizza de Frutos do Mar;9,75;Cartão de Crédito Bradesco;1098;Delivery;5 estrelas;4,39;;
15/04/2023;20:30:00;1105;Nachos com Salsa;5;Cartão de Débito Bradesco;2109;Física;4 estrelas;2,25;;
16/04/2023;21:00:00;1106;Salada de Cenoura Ralada;8,25;Cartão de Crédito Santander;4321;Física;2 estrelas;3,71;;
17/04/2023;21:30:00;1107;Mojito de Morango;4,75;Cartão de Débito Santander;9876;Delivery;3 estrelas;2,14;;
18/04/2023;22:00:00;1108;Risoto de Frango;7,25;Cartão de Crédito Caixa;5432;Delivery;5 estrelas;3,26;;
19/04/2023;22:30:00;1109;Batata Gratinada;13;Cartão de Débito Caixa;1234;Física;4 estrelas;5,85;;
20/04/2023;23:00:00;1110;Sorvete de Pistache;8,5;Cartão de Crédito Banco do Brasil;3456;Delivery;3 estrelas;3,83;;
21/04/2023;18:00:00;1111;Tacos de Pato Confitado;12;Cartão de Crédito Visa;5678;Física;4 estrelas;5,40;;
22/04/2023;18:30:00;1112;Cerveja de Trigo;17,5;Cartão de Crédito MasterCard;6543;Delivery;5 estrelas;7,88;;
23/04/2023;19:00:00;1113;Café com Creme;4;Cartão de Crédito American Express;8765;Física;4 estrelas;1,80;;
24/04/2023;19:30:00;1114;Hamburguer de Bacon;6,75;Cartão de Crédito Diners Club;2109;Física;5 estrelas;3,04;;
25/04/2023;20:00:00;1115;Torta de Chocolate;8,25;Cartão de Crédito Discover;1098;Delivery;3 estrelas;3,71;;
26/04/2023;20:30:00;1116;Smoothie de Framboesa;12,75;Cartão de Débito Visa;4321;Física;4 estrelas;5,74;;
27/04/2023;21:00:00;1117;Tofu ao Curry;3,5;Cartão de Débito MasterCard;9876;Delivery;4 estrelas;1,58;;
28/04/2023;21:30:00;1118;Taco de Camarão Grelhado;14;Dinheiro;5432;Delivery;2 estrelas;6,30;;
29/04/2023;22:00:00;1119;Lasanha de Vegetariano;11,25;Vale-Alimentação;1234;Física;5 estrelas;5,06;;
30/04/2023;22:30:00;1120;Margarita de Abacaxi;6,5;Vale-Refeição;3456;Delivery;4 estrelas;2,93;;
01/05/2023;23:00:00;1121;Taco de Tofu;9,75;Ticket Restaurante;5678;Física;5 estrelas;4,39;;
02/05/2023;18:00:00;1122;Sopa de Milho;5,25;Sodexo;8765;Física;4 estrelas;2,36;;
03/05/2023;18:30:00;1123;Tarte de Pêssego;10;VR Refeição;6543;Delivery;3 estrelas;4,50;;
04/05/2023;19:00:00;1124;Wrap de Pato;11,5;Alelo;2109;Delivery;4 estrelas;5,18;;
05/05/2023;19:30:00;1125;Caipirinha de Maracujá;11,25;Cielo;4321;Física;5 estrelas;5,06;;
06/05/2023;20:00:00;1126;Pizza de Churrasco;6;Apple Pay;1098;Delivery;1 estrela;2,70;;
07/05/2023;20:30:00;1127;Salmão ao Molho de Manga;9,75;Google Pay;9876;Física;4 estrelas;4,39;;
08/05/2023;21:00:00;1128;Chips de Batata Doce;8,75;Samsung Pay;5432;Delivery;3 estrelas;3,94;;
09/05/2023;21:30:00;1129;Sorvete de Limão;10,75;Pix;1234;Física;5 estrelas;4,84;;
10/05/2023;22:00:00;1130;Salada de Rúcula;3;Pix;3456;Delivery;4 estrelas;1,35;;
11/05/2023;22:30:00;1131;Burrito de Frutos do Mar;7,25;Cielo;5678;Física;4 estrelas;3,26;;
12/05/2023;23:00:00;1132;Café Mocha;6,75;Pix;8765;Física;2 estrelas;3,04;;
13/05/2023;18:00:00;1133;Hamburguer de Peru;5;Voucher;6543;Delivery;5 estrelas;2,25;;
14/05/2023;19:00:00;1134;Sushi de Caranguejo;8,5;Cartão de Crédito Elo;2109;Delivery;4 estrelas;3,83;;
15/05/2023;20:00:00;1135;Nachos com Queijo Fundido;7,25;Cartão de Crédito Hipercard;4321;Física;3 estrelas;3,26;;
16/05/2023;21:00:00;1136;Milkshake de Amendoim;6,5;Cartão de Crédito Hiper;1098;Delivery;5 estrelas;2,93;;
17/05/2023;22:00:00;1137;Tacos de Lombo de Porco;3,25;Cartão de Débito Elo;9876;Física;4 estrelas;1,46;;
18/05/2023;23:00:00;1138;Pizza de Alcachofra;15,5;Cartão de Débito Hipercard;5432;Delivery;4 estrelas;6,98;;
19/05/2023;18:00:00;1139;Sopa de Abóbora;11,75;Cartão de Débito Hiper;1234;Física;3 estrelas;5,29;;
20/05/2023;19:00:00;1140;Taco de Jaca;12;Cartão de Crédito Sicredi;3456;Física;5 estrelas;5,40;;
21/05/2023;20:00:00;1141;Cerveja Pale Ale;13,25;Cartão de Débito Sicredi;5678;Delivery;4 estrelas;5,96;;
22/05/2023;21:00:00;1142;Torta de Maçã;10;Cartão de Crédito Itaú;8765;Física;5 estrelas;4,50;;
23/05/2023;22:00:00;1143;Smoothie de Espinafre;7,5;Cartão de Débito Itaú;6543;Delivery;4 estrelas;3,38;;
24/05/2023;23:00:00;1144;Salmão Grelhado com Alcaparras;8,75;Cartão de Crédito Bradesco;2109;Delivery;2 estrelas;3,94;;
25/05/2023;18:00:00;1145;Lasanha de Pato;4,5;Cartão de Débito Bradesco;4321;Física;3 estrelas;2,03;;
26/05/2023;19:00:00;1146;Tofu ao Molho de Amendoim;10,25;Cartão de Crédito Santander;1098;Delivery;5 estrelas;4,61;;
27/05/2023;23:00:00;1147;Mojito de Melancia;14;Cartão de Débito Santander;9876;Física;4 estrelas;6,30;;
28/05/2023;18:00:00;1148;Salada de Tomate e Mozarela;9,5;Cartão de Crédito Caixa;5432;Física;3 estrelas;4,28;;
29/05/2023;19:00:00;1149;Sorvete de Framboesa;3;Cartão de Débito Caixa;1234;Delivery;4 estrelas;1,35;;
30/05/2023;20:00:00;1150;Café Gelado;8,25;Cartão de Crédito Banco do Brasil;3456;Delivery;5 estrelas;3,71;;
31/05/2023;21:00:00;1151;Burrito de Cordeiro;6;Cartão de Crédito Visa;5678;Física;4 estrelas;2,70;;
01/06/2023;22:00:00;1152;Wrap de Carne de Porco Desfiada;15,5;Cartão de Crédito MasterCard;8765;Delivery;5 estrelas;6,98;;
02/06/2023;23:00:00;1153;Pizza de Funghi;12;Cartão de Crédito American Express;6543;Física;3 estrelas;5,40;;
03/06/2023;18:00:00;1154;Taco de Lagosta;5;Cartão de Crédito Diners Club;2109;Delivery;4 estrelas;2,25;;
04/06/2023;19:00:00;1155;Nachos com Chilli;3;Cartão de Crédito Discover;4321;Física;4 estrelas;1,35;;
05/06/2023;20:00:00;1156;Tarte de Cereja;8,5;Cartão de Débito Visa;1098;Delivery;2 estrelas;3,83;;
06/06/2023;21:00:00;1157;Bolo de Morango;6;Cartão de Débito MasterCard;9876;Física;5 estrelas;2,70;;
07/06/2023;22:00:00;1158;Chips de Abobrinha;18,75;Dinheiro;5432;Física;4 estrelas;8,44;;
08/06/2023;23:00:00;1159;Tacos de Salsicha;10,25;Vale-Alimentação;1234;Delivery;5 estrelas;4,61;;
09/06/2023;23:00:00;1160;Sushi de Enguia;13,5;Vale-Refeição;3456;Delivery;4 estrelas;6,08;;
10/06/2023;18:00:00;1161;Taco de Feijão;7,75;Ticket Restaurante;5678;Física;3 estrelas;3,49;;
11/06/2023;19:00:00;1162;Coca-Cola Zero Lata;5;Sodexo;8765;Delivery;4 estrelas;2,25;;
12/06/2023;20:00:00;1163;Salada de Espargos;6,75;VR Refeição;6543;Física;5 estrelas;3,04;;
13/06/2023;21:00:00;1164;Sopa de Abóbora;8,25;Alelo;2109;Delivery;1 estrela;3,71;;
14/06/2023;22:00:00;1165;Hamburguer de Frango;15,5;Cielo;4321;Física;4 estrelas;6,98;;
15/06/2023;23:00:00;1166;Pizza Margherita;12;Apple Pay;1098;Física;3 estrelas;5,40;;
16/06/2023;18:00:00;1167;Batata Frita;5;Google Pay;9876;Delivery;5 estrelas;2,25;;
17/06/2023;19:00:00;1168;Coca-Cola Lata;3;Samsung Pay;5432;Física;4 estrelas;1,35;;
18/06/2023;20:00:00;1169;Salada Caesar;8,5;Vale-Alimentação;1234;Delivery;4 estrelas;3,83;;
19/06/2023;21:00:00;1170;Sorvete de Chocolate;6;Vale-Refeição;3456;Delivery;2 estrelas;2,70;;
20/06/2023;22:00:00;1171;Salmão Grelhado;18,75;Ticket Restaurante;5678;Física;5 estrelas;8,44;;
21/06/2023;23:00:00;1172;Taco de Carne;10,25;Pix;8765;Delivery;4 estrelas;4,61;;
22/06/2023;23:00:00;1173;Lasanha à Bolonhesa;13,5;Voucher;6543;Física;3 estrelas;6,08;;
23/06/2023;18:00:00;1174;Sobremesa de Cheesecake;7,75;Cartão de Crédito Elo;2109;Física;5 estrelas;3,49;;
24/06/2023;19:00:00;1175;Burrito de Frango;11;Cartão de Crédito Hipercard;4321;Delivery;4 estrelas;4,95;;
25/06/2023;20:00:00;1176;Cerveja Artesanal IPA;6,75;Cartão de Crédito Hiper;1098;Delivery;4 estrelas;3,04;;
26/06/2023;21:00:00;1177;Tiramisu;8,25;Cartão de Débito Elo;9876;Física;3 estrelas;3,71;;
27/06/2023;22:00:00;1178;Taco de Peixe;11,5;Cartão de Débito Hipercard;5432;Delivery;5 estrelas;5,18;;
28/06/2023;23:00:00;1179;Macarrão Alfredo;9;Cartão de Débito Hiper;1234;Física;4 estrelas;4,05;;
29/06/2023;18:00:00;1180;Sopa de Tomate;6,25;Cartão de Crédito Sicredi;3456;Delivery;5 estrelas;2,81;;
30/06/2023;19:00:00;1181;Pudim de Caramelo;5,75;Cartão de Débito Sicredi;5678;Física;4 estrelas;2,59;;
01/07/2023;20:00:00;1182;Milkshake de Baunilha;4,5;Cartão de Crédito Itaú;8765;Delivery;3 estrelas;2,03;;
02/07/2023;21:00:00;1183;Wrap de Vegetariano;10;Cartão de Débito Itaú;6543;Física;5 estrelas;4,50;;
03/07/2023;22:00:00;1184;Sushi de Salmão;14,25;Cartão de Crédito Bradesco;2109;Física;4 estrelas;6,41;;
04/07/2023;23:00:00;1185;Café Expresso;2,5;Cartão de Débito Bradesco;4321;Delivery;2 estrelas;1,13;;
05/07/2023;18:00:00;1186;Tofu Frito;7;Cartão de Crédito Santander;1098;Delivery;5 estrelas;3,15;;
06/07/2023;19:00:00;1187;Margarita;8,75;Cartão de Débito Santander;9876;Física;4 estrelas;3,94;;
07/07/2023;20:00:00;1188;Nachos com Queijo;9,5;Cartão de Crédito Caixa;5432;Delivery;3 estrelas;4,28;;
08/07/2023;21:00:00;1189;Risoto de Cogumelos;12,75;Cartão de Débito Caixa;1234;Física;5 estrelas;5,74;;
09/07/2023;22:00:00;1190;Wrap de Frango Grelhado;11,5;Cartão de Crédito Banco do Brasil;3456;Delivery;4 estrelas;5,18;;
10/07/2023;23:00:00;1191;Smoothie de Manga;5,75;Cartão de Crédito Diners Club;5678;Física;3 estrelas;2,59;;
11/07/2023;18:00:00;1192;Hamburguer Vegetariano;13;Cartão de Crédito Discover;8765;Física;5 estrelas;5,85;;
12/07/2023;19:00:00;1193;Sopa de Frango com Macarrão;7,25;Cartão de Débito Visa;6543;Delivery;4 estrelas;3,26;;
13/07/2023;20:00:00;1194;Mojito;8,5;Cartão de Débito MasterCard;2109;Física;2 estrelas;3,83;;
14/07/2023;21:00:00;1195;Cachorro-Quente;5;Cartão de Crédito Diners Club;4321;Delivery;5 estrelas;2,25;;
15/07/2023;22:00:00;1196;Salada de Quinoa;9,75;Cartão de Crédito Discover;1098;Delivery;4 estrelas;4,39;;
16/07/2023;23:00:00;1197;Tacos de Camarão;12,25;Cartão de Débito Visa;9876;Física;5 estrelas;5,51;;
17/07/2023;18:00:00;1198;Limonada Fresca;4;Cartão de Débito MasterCard;5432;Delivery;3 estrelas;1,80;;
18/07/2023;19:00:00;1199;Burrito de Vegetariano;10,5;Cartão de Crédito Diners Club;1234;Física;4 estrelas;4,73;;
19/07/2023;20:00:00;1200;Frango Assado;15;Cartão de Crédito Discover;3456;Física;5 estrelas;6,75;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
